Category,Mohave
Total_doses_administered,155185
Total_people_one_dose,89338
Total_people_complete,73574
Total_doses_ordered,128270
total_pouluation,216985
Male-65 years and older,21573
Male-55-64 years,8440
Male-45-54 years,4316
Male-20-44 years,7180
Male-Less than 20 years,1224
Female-65 years and older,24041
Female-55-64 years,9818
Female-45-54 years,4576
Female-20-44 years,6653
Female-Less than 20 years,1360
"Black or African American, non-Hispanic",613
"American Indian or Alaska Native, non-Hispanic",910
"Asian or Pacific Islander, non-Hispanic",1290
Hispanic or Latino,6276
Unknown,15170
Other Race,15912
"White, non-Hispanic",49167
