,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,1335687,15448,79276,114895,38015,14382,7769,13861,1705228,98590,41358,628998,195846,39629,145026,129175
Total_people_one_dose,2791733,786608,8958,49005,65547,22302,8677,4418,8263,1056486,62590,25118,382615,120199,24576,86708,79663
Total_people_complete,2024440,,,,,,,,,,,,,,,,
Total_doses_ordered,4335320,,,,,,,,,,,,,,,,
65 years and older,566279,,,,,,,,,,,,,,,,
55-64 years,280423,,,,,,,,,,,,,,,,
45-54 years,201982,,,,,,,,,,,,,,,,
20-44 years,422073,,,,,,,,,,,,,,,,
Less than 20 years,44696,,,,,,,,,,,,,,,,
65 years and older,62590,,,,,,,,,,,,,,,,
55-64 years,231676,,,,,,,,,,,,,,,,
45-54 years,172827,,,,,,,,,,,,,,,,
20-44 years,369369,,,,,,,,,,,,,,,,
Less than 20 years,38068,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",61035,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",66323,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",101074,,,,,,,,,,,,,,,,
Hispanic or Latino,347422,,,,,,,,,,,,,,,,
Unknown,384711,,,,,,,,,,,,,,,,
Other Race,480054,,,,,,,,,,,,,,,,
"White, non-Hispanic",1351114,,,,,,,,,,,,,,,,
