Category,Navajo
Total_doses_administered,93503
Total_people_one_dose,47252
Total_people_complete,39881
total_pouluation,47252
Male-65 years and older,7198
Male-55-64 years,3504
Male-45-54 years,2635
Male-20-44 years,5626
Male-Less than 20 years,3912
Female-65 years and older,8122
Female-55-64 years,4040
Female-45-54 years,2642
Female-20-44 years,5526
Female-Less than 20 years,4012
"Black or African American, non-Hispanic",198
"Asian or Pacific Islander, non-Hispanic",343
Unknown,2156
Hispanic or Latino,2381
Other Race,6169
"White, non-Hispanic",15701
"American Indian or Alaska Native, non-Hispanic",20304
