Category,Graham
Total_doses_administered,40899
Total_people_one_dose,20409
Total_people_complete,18217
total_pouluation,20409
Male-65 years and older,2361
Male-55-64 years,1557
Male-45-54 years,1417
Male-20-44 years,3496
Male-Less than 20 years,1014
Female-65 years and older,2856
Female-55-64 years,1701
Female-45-54 years,1381
Female-20-44 years,3506
Female-Less than 20 years,1108
"Asian or Pacific Islander, non-Hispanic",82
"Black or African American, non-Hispanic",88
Other Race,1277
Hispanic or Latino,3606
Unknown,3982
"American Indian or Alaska Native, non-Hispanic",5070
"White, non-Hispanic",6304
