Category,La Paz
Total_doses_administered,16722
Total_people_one_dose,8534
Total_people_complete,7398
total_pouluation,8534
Male-65 years and older,2325
Male-55-64 years,591
Male-45-54 years,316
Male-20-44 years,646
Male-Less than 20 years,309
Female-65 years and older,2361
Female-55-64 years,708
Female-45-54 years,361
Female-20-44 years,578
Female-Less than 20 years,321
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",88
"American Indian or Alaska Native, non-Hispanic",477
Other Race,1127
Hispanic or Latino,1258
Unknown,1757
"White, non-Hispanic",3789
