Category,Santa Cruz
Total_doses_administered,101534
Total_people_one_dose,53519
Total_people_complete,43468
total_pouluation,53519
Male-65 years and older,4574
Male-55-64 years,3182
Male-45-54 years,3327
Male-20-44 years,8847
Male-Less than 20 years,5715
Female-65 years and older,5523
Female-55-64 years,3450
Female-45-54 years,3592
Female-20-44 years,9112
Female-Less than 20 years,6118
"Black or African American, non-Hispanic",55
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",183
Other Race,3405
Unknown,3429
"White, non-Hispanic",7341
Hispanic or Latino,39050
