Category,Maricopa
Total_doses_administered,5243533
Total_people_one_dose,2575009
Total_people_complete,2273688
total_pouluation,2575009
Male-65 years and older,280865
Male-55-64 years,185298
Male-45-54 years,179580
Male-20-44 years,427991
Male-Less than 20 years,134753
Female-65 years and older,351402
Female-55-64 years,208740
Female-45-54 years,195070
Female-20-44 years,458730
Female-Less than 20 years,138145
"American Indian or Alaska Native, non-Hispanic",49801
"Black or African American, non-Hispanic",98891
"Asian or Pacific Islander, non-Hispanic",129323
Unknown,170700
Other Race,420353
Hispanic or Latino,425953
"White, non-Hispanic",1279988
