Category,Yuma
Total_doses_administered,286962
Total_people_one_dose,149083
Total_people_complete,124506
total_pouluation,149083
Male-65 years and older,15524
Male-55-64 years,10061
Male-45-54 years,8978
Male-20-44 years,27168
Male-Less than 20 years,11005
Female-65 years and older,17999
Female-55-64 years,10763
Female-45-54 years,9855
Female-20-44 years,25679
Female-Less than 20 years,11515
"Black or African American, non-Hispanic",797
"American Indian or Alaska Native, non-Hispanic",1141
"Asian or Pacific Islander, non-Hispanic",1166
Other Race,17333
Unknown,28185
"White, non-Hispanic",32709
Hispanic or Latino,67752
