Category,Coconino
Total_doses_administered,189330
Total_people_one_dose,91908
Total_people_complete,80694
total_pouluation,91908
Male-65 years and older,9241
Male-55-64 years,6218
Male-45-54 years,5681
Male-20-44 years,16765
Male-Less than 20 years,5565
Female-65 years and older,10440
Female-55-64 years,7023
Female-45-54 years,5781
Female-20-44 years,19097
Female-Less than 20 years,5835
"Black or African American, non-Hispanic",758
"Asian or Pacific Islander, non-Hispanic",1537
Hispanic or Latino,6840
Other Race,8445
Unknown,12879
"American Indian or Alaska Native, non-Hispanic",21757
"White, non-Hispanic",39692
