Category,Cochise
Total_doses_administered,149326
Total_people_one_dose,77113
Total_people_complete,65350
total_pouluation,77113
Male-65 years and older,10902
Male-55-64 years,5318
Male-45-54 years,4154
Male-20-44 years,11191
Male-Less than 20 years,4706
Female-65 years and older,12869
Female-55-64 years,6356
Female-45-54 years,4664
Female-20-44 years,11837
Female-Less than 20 years,5017
"American Indian or Alaska Native, non-Hispanic",342
"Asian or Pacific Islander, non-Hispanic",1423
"Black or African American, non-Hispanic",1517
Unknown,9060
Other Race,11548
Hispanic or Latino,20941
"White, non-Hispanic",32282
