Category,Arizona
Total_doses_administered,9009741
Total_people_complete,427875
total_pouluation,7189020
Total_people_one_dose,4487637
Male-65 years and older,552585
Male-55-64 years,321219
Male-45-54 years,290203
Male-20-44 years,717809
Male-Less than 20 years,237134
Female-65 years and older,674262
Female-55-64 years,366114
Female-45-54 years,313360
Female-20-44 years,750507
Female-Less than 20 years,244709
"Black or African American, non-Hispanic",134972
"Asian or Pacific Islander, non-Hispanic",170336
"American Indian or Alaska Native, non-Hispanic",188042
Unknown,409347
Other Race,650234
Hispanic or Latino,819574
"White, non-Hispanic",2115132
