Category,Mohave
Total_doses_administered,194892
Total_people_one_dose,93116
Total_people_complete,77921
total_pouluation,93116
Male-65 years and older,21559
Male-55-64 years,8486
Male-45-54 years,4422
Male-20-44 years,7850
Male-Less than 20 years,1989
Female-65 years and older,23622
Female-55-64 years,9797
Female-45-54 years,4966
Female-20-44 years,8055
Female-Less than 20 years,2189
"Black or African American, non-Hispanic",653
"American Indian or Alaska Native, non-Hispanic",782
"Asian or Pacific Islander, non-Hispanic",1431
Hispanic or Latino,7643
Unknown,11685
Other Race,14712
"White, non-Hispanic",56210
