Category,Apache
Total_doses_administered,65427
Total_people_one_dose,30906
Total_people_complete,23250
total_pouluation,30906
Male-65 years and older,2880
Male-55-64 years,2102
Male-45-54 years,1700
Male-20-44 years,4073
Male-Less than 20 years,4356
Female-65 years and older,3449
Female-55-64 years,2257
Female-45-54 years,1676
Female-20-44 years,3962
Female-Less than 20 years,4441
"Black or African American, non-Hispanic",60
"Asian or Pacific Islander, non-Hispanic",139
Hispanic or Latino,608
Other Race,1177
Unknown,1186
"White, non-Hispanic",3727
"American Indian or Alaska Native, non-Hispanic",24009
