Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,10257623,65427,216633,175770,47171,9936,58922,18845,5918624,194892,106054,547355,1671706,119142,259375,331665
Total_people_complete,4013960,23250,83042,68713,18993,3865,23345,7617,2345431,77921,41501,224358,638830,45565,101011,129481
total_pouluation,7189020,30906,97635,85089,21938,4470,26920,9253,2735417,93116,51195,261243,758280,60444,120754,164661
Total_people_one_dose,4826531,30906,97635,85089,21938,4470,26920,9253,2735417,93116,51195,261243,758280,60444,120754,164661
Male-65 years and older,584233,2880,9608,11558,2443,519,5946,2509,292636,21559,7548,38042,94136,4890,26610,17652
Male-55-64 years,339190,2102,6484,5729,1614,378,2258,648,193043,8486,3667,18863,49521,3447,9406,10941
Male-45-54 years,306270,1700,5931,4544,1472,333,1282,334,187552,4422,2806,17259,42943,3600,5193,9462
Male-20-44 years,766254,4073,17700,12123,3690,807,2518,699,452242,7850,6088,39659,115683,9500,10641,29040
Male-Less than 20 years,289277,4356,6623,6188,1362,235,857,394,161876,1989,4720,13931,48635,7471,3134,13404
Female-65 years and older,709807,3449,10809,13541,2948,521,6333,2495,365648,23622,8501,43656,121106,5920,32306,20205
Female-55-64 years,385445,2257,7261,6798,1750,319,2656,762,216915,9797,4199,21314,59199,3815,11851,11719
Female-45-54 years,329615,1676,5974,5103,1442,331,1418,386,202966,4966,2823,17589,48569,3953,6172,10406
Female-20-44 years,801297,3962,20111,12874,3740,777,2675,623,483834,8055,5975,36508,127334,10017,10875,27354
Female-Less than 20 years,295257,4441,6859,6528,1465,248,919,384,164353,2189,4829,13682,49677,7740,3421,13845
"Black or African American, non-Hispanic",147513,60,820,1649,97,53,97,43,107379,653,215,9638,17461,61,603,869
"Asian or Pacific Islander, non-Hispanic",185248,139,1768,1535,88,48,214,93,139419,1431,380,5380,22940,191,1507,1265
"American Indian or Alaska Native, non-Hispanic",209929,24009,23434,376,5632,125,2861,552,53745,782,22574,10415,16009,58,1479,1205
Unknown,435167,1186,12360,10248,4171,304,4582,1915,184096,11685,2467,30362,65854,4477,18468,30182
Other Race,684105,1177,8890,12231,1321,96,4318,1215,436915,14712,6432,31932,93907,3630,17738,19842
Hispanic or Latino,917141,608,7641,25029,3960,2028,1519,1384,469889,7643,2671,42852,189600,44162,8572,74691
"White, non-Hispanic",2247428,3727,42722,34021,6669,1816,13329,4051,1343974,56210,16456,130664,352509,7865,72387,36607
