Category,Coconino
Total_doses_administered,216633
Total_people_one_dose,97635
Total_people_complete,83042
total_pouluation,97635
Male-65 years and older,9608
Male-55-64 years,6484
Male-45-54 years,5931
Male-20-44 years,17700
Male-Less than 20 years,6623
Female-65 years and older,10809
Female-55-64 years,7261
Female-45-54 years,5974
Female-20-44 years,20111
Female-Less than 20 years,6859
"Black or African American, non-Hispanic",820
"Asian or Pacific Islander, non-Hispanic",1768
Hispanic or Latino,7641
Other Race,8890
Unknown,12360
"American Indian or Alaska Native, non-Hispanic",23434
"White, non-Hispanic",42722
