Category,Yuma
Total_doses_administered,331665
Total_people_one_dose,164661
Total_people_complete,129481
total_pouluation,164661
Male-65 years and older,17652
Male-55-64 years,10941
Male-45-54 years,9462
Male-20-44 years,29040
Male-Less than 20 years,13404
Female-65 years and older,20205
Female-55-64 years,11719
Female-45-54 years,10406
Female-20-44 years,27354
Female-Less than 20 years,13845
"Black or African American, non-Hispanic",869
"American Indian or Alaska Native, non-Hispanic",1205
"Asian or Pacific Islander, non-Hispanic",1265
Other Race,19842
Unknown,30182
"White, non-Hispanic",36607
Hispanic or Latino,74691
