Category,Yavapai
Total_doses_administered,259375
Total_people_one_dose,120754
Total_people_complete,101011
total_pouluation,120754
Male-65 years and older,26610
Male-55-64 years,9406
Male-45-54 years,5193
Male-20-44 years,10641
Male-Less than 20 years,3134
Female-65 years and older,32306
Female-55-64 years,11851
Female-45-54 years,6172
Female-20-44 years,10875
Female-Less than 20 years,3421
"Black or African American, non-Hispanic",603
"American Indian or Alaska Native, non-Hispanic",1479
"Asian or Pacific Islander, non-Hispanic",1507
Hispanic or Latino,8572
Other Race,17738
Unknown,18468
"White, non-Hispanic",72387
