Category,Navajo
Total_doses_administered,106054
Total_people_one_dose,51195
Total_people_complete,41501
total_pouluation,51195
Male-65 years and older,7548
Male-55-64 years,3667
Male-45-54 years,2806
Male-20-44 years,6088
Male-Less than 20 years,4720
Female-65 years and older,8501
Female-55-64 years,4199
Female-45-54 years,2823
Female-20-44 years,5975
Female-Less than 20 years,4829
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",380
Unknown,2467
Hispanic or Latino,2671
Other Race,6432
"White, non-Hispanic",16456
"American Indian or Alaska Native, non-Hispanic",22574
