Category,Greenlee
Total_doses_administered,9936
Total_people_one_dose,4470
Total_people_complete,3865
total_pouluation,4470
Male-65 years and older,519
Male-55-64 years,378
Male-45-54 years,333
Male-20-44 years,807
Male-Less than 20 years,235
Female-65 years and older,521
Female-55-64 years,319
Female-45-54 years,331
Female-20-44 years,777
Female-Less than 20 years,248
"Asian or Pacific Islander, non-Hispanic",48
"Black or African American, non-Hispanic",53
Other Race,96
"American Indian or Alaska Native, non-Hispanic",125
Unknown,304
"White, non-Hispanic",1816
Hispanic or Latino,2028
