Category,La Paz
Total_doses_administered,18845
Total_people_one_dose,9253
Total_people_complete,7617
total_pouluation,9253
Male-65 years and older,2509
Male-55-64 years,648
Male-45-54 years,334
Male-20-44 years,699
Male-Less than 20 years,394
Female-65 years and older,2495
Female-55-64 years,762
Female-45-54 years,386
Female-20-44 years,623
Female-Less than 20 years,384
"Black or African American, non-Hispanic",43
"Asian or Pacific Islander, non-Hispanic",93
"American Indian or Alaska Native, non-Hispanic",552
Other Race,1215
Hispanic or Latino,1384
Unknown,1915
"White, non-Hispanic",4051
