Category,Santa Cruz
Total_doses_administered,119142
Total_people_one_dose,60444
Total_people_complete,45565
total_pouluation,60444
Male-65 years and older,4890
Male-55-64 years,3447
Male-45-54 years,3600
Male-20-44 years,9500
Male-Less than 20 years,7471
Female-65 years and older,5920
Female-55-64 years,3815
Female-45-54 years,3953
Female-20-44 years,10017
Female-Less than 20 years,7740
"American Indian or Alaska Native, non-Hispanic",58
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",191
Other Race,3630
Unknown,4477
"White, non-Hispanic",7865
Hispanic or Latino,44162
