Category,Pinal
Total_doses_administered,213167
Total_people_one_dose,127740
Total_people_complete,97023
Total_doses_ordered,188650
total_pouluation,455210
Male-65 years and older,26633
Male-55-64 years,10691
Male-45-54 years,8497
Male-20-44 years,16334
Male-Less than 20 years,908
Female-65 years and older,30536
Female-55-64 years,11736
Female-45-54 years,7911
Female-20-44 years,12900
Female-Less than 20 years,1043
"Asian or Pacific Islander, non-Hispanic",0.0132143416314389
"Black or African American, non-Hispanic",0.0192500391420072
"American Indian or Alaska Native, non-Hispanic",0.0455769531861594
Other Race,0.0868717707844058
Hispanic or Latino,0.1336464693909504
Unknown,0.2956630656020041
"White, non-Hispanic",0.4057773602630343
