Category,Greenlee
Total_doses_administered,8228
Total_people_one_dose,4646
Total_people_complete,4150
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,536
Male-55-64 years,582
Male-45-54 years,480
Male-20-44 years,972
Male-Less than 20 years,44
Female-65 years and older,514
Female-55-64 years,402
Female-45-54 years,360
Female-20-44 years,712
Female-Less than 20 years,42
"Black or African American, non-Hispanic",0.0090400344382264
"Asian or Pacific Islander, non-Hispanic",0.0103314679294016
"American Indian or Alaska Native, non-Hispanic",0.0176495910460611
Other Race,0.0271201033146793
Unknown,0.0783469651312957
"White, non-Hispanic",0.4147653895824366
Hispanic or Latino,0.4427464485578993
