Category,Apache
Total_doses_administered,22004
Total_people_one_dose,12324
Total_people_complete,10475
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1681
Male-55-64 years,877
Male-45-54 years,560
Male-20-44 years,1017
Male-Less than 20 years,1906
Female-65 years and older,1713
Female-55-64 years,997
Female-45-54 years,610
Female-20-44 years,953
Female-Less than 20 years,2001
"Asian or Pacific Islander, non-Hispanic",0.0116845180136319
"Black or African American, non-Hispanic",0.0168776371308017
Unknown,0.075056799740344
Other Race,0.0751379422265498
Hispanic or Latino,0.1119766309639727
"White, non-Hispanic",0.2346640701071081
"American Indian or Alaska Native, non-Hispanic",0.4746024018175918
