Category,Cochise
Total_doses_administered,109781
Total_people_one_dose,61146
Total_people_complete,54062
Total_doses_ordered,86930
total_pouluation,130808
Male-65 years and older,10306
Male-55-64 years,4940
Male-45-54 years,3416
Male-20-44 years,8181
Male-Less than 20 years,1818
Female-65 years and older,12227
Female-55-64 years,5937
Female-45-54 years,4028
Female-20-44 years,8331
Female-Less than 20 years,1874
"American Indian or Alaska Native, non-Hispanic",0.0049062898636051
"Black or African American, non-Hispanic",0.0184967127857914
"Asian or Pacific Islander, non-Hispanic",0.0199358911457822
Unknown,0.1340398390736925
Other Race,0.1584077453962647
Hispanic or Latino,0.2174631210545252
"White, non-Hispanic",0.4467504006803389
