Category,Cochise
Total_doses_administered,114566
Total_people_one_dose,64190
Total_people_complete,57091
Total_doses_ordered,87630
total_pouluation,130808
Male-65 years and older,10465
Male-55-64 years,5042
Male-45-54 years,3575
Male-20-44 years,9004
Male-Less than 20 years,2135
Female-65 years and older,12402
Female-55-64 years,6042
Female-45-54 years,4161
Female-20-44 years,9038
Female-Less than 20 years,2236
"American Indian or Alaska Native, non-Hispanic",308
"Black or African American, non-Hispanic",1184
"Asian or Pacific Islander, non-Hispanic",1254
Unknown,8490
Other Race,9931
Hispanic or Latino,15042
"White, non-Hispanic",27981
