Category,Gila
Total_doses_administered,49940
Total_people_one_dose,27662
Total_people_complete,24896
Total_doses_ordered,36570
total_pouluation,55159
Male-65 years and older,5750
Male-55-64 years,2542
Male-45-54 years,1533
Male-20-44 years,2937
Male-Less than 20 years,541
Female-65 years and older,6103
Female-55-64 years,2855
Female-45-54 years,1642
Female-20-44 years,3050
Female-Less than 20 years,649
"Black or African American, non-Hispanic",92
"Asian or Pacific Islander, non-Hispanic",250
Hispanic or Latino,1215
Other Race,4675
Unknown,5222
"American Indian or Alaska Native, non-Hispanic",5271
"White, non-Hispanic",10937
