Category,Yavapai
Total_doses_administered,182573
Total_people_one_dose,104077
Total_people_complete,88369
Total_doses_ordered,165360
total_pouluation,232386
Male-65 years and older,23445
Male-55-64 years,8160
Male-45-54 years,4604
Male-20-44 years,8837
Male-Less than 20 years,1674
Female-65 years and older,29242
Female-55-64 years,10513
Female-45-54 years,5401
Female-20-44 years,9011
Female-Less than 20 years,1880
"Black or African American, non-Hispanic",501
"American Indian or Alaska Native, non-Hispanic",1032
"Asian or Pacific Islander, non-Hispanic",1347
Hispanic or Latino,6134
Other Race,16064
Unknown,26594
"White, non-Hispanic",52405
