Category,Navajo
Total_doses_administered,61674
Total_people_one_dose,34768
Total_people_complete,30387
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6143
Male-55-64 years,2799
Male-45-54 years,1924
Male-20-44 years,3899
Male-Less than 20 years,2481
Female-65 years and older,6614
Female-55-64 years,3099
Female-45-54 years,1965
Female-20-44 years,3227
Female-Less than 20 years,2585
"Black or African American, non-Hispanic",195
"Asian or Pacific Islander, non-Hispanic",358
Unknown,1831
Hispanic or Latino,1972
Other Race,7551
"American Indian or Alaska Native, non-Hispanic",9530
"White, non-Hispanic",13331
