Category,Yavapai
Total_doses_administered,107848
Total_people_one_dose,64113
Total_people_complete,44839
Total_doses_ordered,109800
total_pouluation,232386
Male-65 years and older,18791
Male-55-64 years,4077
Male-45-54 years,1655
Male-20-44 years,2808
Male-Less than 20 years,124
Female-65 years and older,23347
Female-55-64 years,5918
Female-45-54 years,2358
Female-20-44 years,3725
Female-Less than 20 years,142
"Black or African American, non-Hispanic",0.0027917277519573
"Asian or Pacific Islander, non-Hispanic",0.0066595963691943
"American Indian or Alaska Native, non-Hispanic",0.0099660001871549
Hispanic or Latino,0.0298044230949187
"Other Race, non-Hispanic",0.1752861910851867
"Unknown, non-Hispanic",0.3075423438036121
"White, non-Hispanic",0.467949717707976
