,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3041773,805778,12613,50227,85831,30155,10494,6726,10100,1133691,60356,30829,425124,129603,24467,107848,82034
Total_people_one_dose,1927278,529946,7542,33804,52191,19737,6511,3838,6218,713763,41258,20050,272527,83956,15791,64113,56033
Total_people_complete,1185986,,,,,,,,,,,,,,,,
Total_doses_ordered,2819270,,,,,,,,,,,,,,,,
65 years and older,505108,,,,,,,,,,,,,,,,
55-64 years,216457,,,,,,,,,,,,,,,,
45-54 years,115908,,,,,,,,,,,,,,,,
20-44 years,238700,,,,,,,,,,,,,,,,
Less than 20 years,11748,,,,,,,,,,,,,,,,
65 years and older,64113,,,,,,,,,,,,,,,,
55-64 years,170124,,,,,,,,,,,,,,,,
45-54 years,84114,,,,,,,,,,,,,,,,
20-44 years,166290,,,,,,,,,,,,,,,,
Less than 20 years,8075,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",35469,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",53430,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",55289,,,,,,,,,,,,,,,,
Hispanic or Latino,186621,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",287112,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",356176,,,,,,,,,,,,,,,,
"White, non-Hispanic",953451,,,,,,,,,,,,,,,,
