Category,Greenlee
Total_doses_administered,8065
Total_people_one_dose,4562
Total_people_complete,4009
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,522
Male-55-64 years,576
Male-45-54 years,469
Male-20-44 years,941
Male-Less than 20 years,43
Female-65 years and older,512
Female-55-64 years,402
Female-45-54 years,358
Female-20-44 years,696
Female-Less than 20 years,41
"Black or African American, non-Hispanic",0.0094256904866287
"Asian or Pacific Islander, non-Hispanic",0.0098640946953091
"American Indian or Alaska Native, non-Hispanic",0.0160017536168347
Other Race,0.0173169662428759
Unknown,0.0935992985532661
"White, non-Hispanic",0.4092503288031566
Hispanic or Latino,0.444541867601929
