Category,Pima
Total_doses_administered,783601
Total_people_one_dose,445980
Total_people_complete,380299
Total_doses_ordered,585332
total_pouluation,1044675
Male-65 years and older,68795
Male-55-64 years,32604
Male-45-54 years,26660
Male-20-44 years,61196
Male-Less than 20 years,8688
Female-65 years and older,91047
Female-55-64 years,41449
Female-45-54 years,32538
Female-20-44 years,72389
Female-Less than 20 years,9758
"Black or African American, non-Hispanic",0.0167406610161891
"American Indian or Alaska Native, non-Hispanic",0.0191443562491592
"Asian or Pacific Islander, non-Hispanic",0.0242365128481098
Other Race,0.1192407731288399
Unknown,0.1948876631239069
Hispanic or Latino,0.2058993676846495
"White, non-Hispanic",0.4198506659491457
