Category,Cochise
Total_doses_administered,117252
Total_people_one_dose,65987
Total_people_complete,58024
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10585
Male-55-64 years,5110
Male-45-54 years,3671
Male-20-44 years,9383
Male-Less than 20 years,2400
Female-65 years and older,12524
Female-55-64 years,6135
Female-45-54 years,4245
Female-20-44 years,9353
Female-Less than 20 years,2490
"American Indian or Alaska Native, non-Hispanic",314
"Black or African American, non-Hispanic",1222
"Asian or Pacific Islander, non-Hispanic",1277
Unknown,8774
Other Race,10084
Hispanic or Latino,15791
"White, non-Hispanic",28525
