Category,Yavapai
Total_doses_administered,185417
Total_people_one_dose,106153
Total_people_complete,89220
Total_doses_ordered,166400
total_pouluation,232386
Male-65 years and older,23661
Male-55-64 years,8330
Male-45-54 years,4745
Male-20-44 years,9145
Male-Less than 20 years,1824
Female-65 years and older,29536
Female-55-64 years,10699
Female-45-54 years,5534
Female-20-44 years,9330
Female-Less than 20 years,2039
"Black or African American, non-Hispanic",525
"American Indian or Alaska Native, non-Hispanic",1052
"Asian or Pacific Islander, non-Hispanic",1382
Hispanic or Latino,6402
Other Race,16270
Unknown,26937
"White, non-Hispanic",53585
