Category,Coconino
Total_doses_administered,147379
Total_people_one_dose,80822
Total_people_complete,72757
Total_doses_ordered,96258
total_pouluation,147275
Male-65 years and older,7609
Male-55-64 years,5925
Male-45-54 years,5309
Male-20-44 years,15978
Male-Less than 20 years,2904
Female-65 years and older,8705
Female-55-64 years,6650
Female-45-54 years,5494
Female-20-44 years,18504
Female-Less than 20 years,3667
"Black or African American, non-Hispanic",574
"Asian or Pacific Islander, non-Hispanic",1198
Hispanic or Latino,5536
Other Race,9369
Unknown,16774
"American Indian or Alaska Native, non-Hispanic",16793
"White, non-Hispanic",30578
