Category,Mohave
Total_doses_administered,150795
Total_people_one_dose,86642
Total_people_complete,71692
Total_doses_ordered,126080
total_pouluation,216985
Male-65 years and older,21221
Male-55-64 years,8197
Male-45-54 years,4118
Male-20-44 years,6783
Male-Less than 20 years,1064
Female-65 years and older,23633
Female-55-64 years,9593
Female-45-54 years,4375
Female-20-44 years,6278
Female-Less than 20 years,1226
"Black or African American, non-Hispanic",590
"American Indian or Alaska Native, non-Hispanic",865
"Asian or Pacific Islander, non-Hispanic",1245
Hispanic or Latino,5900
Unknown,14737
Other Race,15588
"White, non-Hispanic",47717
