Category,Arizona
Total_doses_administered,6937778
Total_people_complete,3369986
Total_doses_ordered,5244710
total_pouluation,7189020
Total_people_one_dose,3819025
Male-65 years and older,510988
Male-55-64 years,291762
Male-45-54 years,250437
Male-20-44 years,583745
Male-Less than 20 years,145320
Female-65 years and older,630474
Female-55-64 years,337098
Female-45-54 years,275978
Female-20-44 years,619193
Female-Less than 20 years,154675
"Black or African American, non-Hispanic",102732
"American Indian or Alaska Native, non-Hispanic",107276
"Asian or Pacific Islander, non-Hispanic",145885
Unknown,413228
Hispanic or Latino,624265
Other Race,648472
"White, non-Hispanic",1777167
