Category,Greenlee
Total_doses_administered,8406
Total_people_one_dose,4773
Total_people_complete,4214
Total_doses_ordered,9770
total_pouluation,10375
Male-65 years and older,548
Male-55-64 years,594
Male-45-54 years,486
Male-20-44 years,1008
Male-Less than 20 years,48
Female-65 years and older,525
Female-55-64 years,410
Female-45-54 years,366
Female-20-44 years,740
Female-Less than 20 years,45
"Black or African American, non-Hispanic",45
"Asian or Pacific Islander, non-Hispanic",48
"American Indian or Alaska Native, non-Hispanic",84
Other Race,130
Unknown,384
"White, non-Hispanic",1977
Hispanic or Latino,2105
