Category,Santa Cruz
Total_doses_administered,67591
Total_people_one_dose,37703
Total_people_complete,34163
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3571
Male-55-64 years,2602
Male-45-54 years,2977
Male-20-44 years,7366
Male-Less than 20 years,2242
Female-65 years and older,4318
Female-55-64 years,2642
Female-45-54 years,2835
Female-20-44 years,6778
Female-Less than 20 years,2304
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",95
Other Race,1992
Unknown,2312
"White, non-Hispanic",4720
Hispanic or Latino,28536
