Category,Apache
Total_doses_administered,31149
Total_people_one_dose,17406
Total_people_complete,11447
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1894
Male-55-64 years,1251
Male-45-54 years,950
Male-20-44 years,2239
Male-Less than 20 years,2292
Female-65 years and older,2005
Female-55-64 years,1376
Female-45-54 years,941
Female-20-44 years,2066
Female-Less than 20 years,2382
"Asian or Pacific Islander, non-Hispanic",160
"Black or African American, non-Hispanic",261
Unknown,979
Other Race,1176
Hispanic or Latino,1664
"White, non-Hispanic",3077
"American Indian or Alaska Native, non-Hispanic",10089
