Category,Navajo
Total_doses_administered,63072
Total_people_one_dose,35743
Total_people_complete,30775
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6243
Male-55-64 years,2870
Male-45-54 years,1980
Male-20-44 years,4025
Male-Less than 20 years,2603
Female-65 years and older,6721
Female-55-64 years,3159
Female-45-54 years,2028
Female-20-44 years,3370
Female-Less than 20 years,2711
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",370
Unknown,1926
Hispanic or Latino,2065
Other Race,7714
"American Indian or Alaska Native, non-Hispanic",9756
"White, non-Hispanic",13707
