Category,Maricopa
Total_doses_administered,5567694
Total_people_one_dose,2644321
Total_people_complete,2302266
total_pouluation,2644321
Male-65 years and older,285586
Male-55-64 years,188557
Male-45-54 years,182964
Male-20-44 years,437912
Male-Less than 20 years,147713
Female-65 years and older,356811
Female-55-64 years,212154
Female-45-54 years,198319
Female-20-44 years,469100
Female-Less than 20 years,150742
"American Indian or Alaska Native, non-Hispanic",51699
"Black or African American, non-Hispanic",102311
"Asian or Pacific Islander, non-Hispanic",133943
Unknown,176664
Other Race,427603
Hispanic or Latino,444259
"White, non-Hispanic",1307842
