Category,Santa Cruz
Total_doses_administered,109075
Total_people_one_dose,56351
Total_people_complete,44530
total_pouluation,56351
Male-65 years and older,4723
Male-55-64 years,3273
Male-45-54 years,3439
Male-20-44 years,9059
Male-Less than 20 years,6458
Female-65 years and older,5709
Female-55-64 years,3591
Female-45-54 years,3721
Female-20-44 years,9493
Female-Less than 20 years,6800
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",186
Other Race,3523
Unknown,3848
"White, non-Hispanic",7553
Hispanic or Latino,41126
