Category,Cochise
Total_doses_administered,162566
Total_people_one_dose,80831
Total_people_complete,66902
total_pouluation,80831
Male-65 years and older,11224
Male-55-64 years,5521
Male-45-54 years,4322
Male-20-44 years,11604
Male-Less than 20 years,5409
Female-65 years and older,13158
Female-55-64 years,6545
Female-45-54 years,4844
Female-20-44 years,12303
Female-Less than 20 years,5800
"American Indian or Alaska Native, non-Hispanic",359
"Asian or Pacific Islander, non-Hispanic",1475
"Black or African American, non-Hispanic",1578
Unknown,9508
Other Race,11850
Hispanic or Latino,22931
"White, non-Hispanic",33130
