Category,La Paz
Total_doses_administered,17959
Total_people_one_dose,8931
Total_people_complete,7527
total_pouluation,8931
Male-65 years and older,2414
Male-55-64 years,612
Male-45-54 years,327
Male-20-44 years,677
Male-Less than 20 years,365
Female-65 years and older,2437
Female-55-64 years,739
Female-45-54 years,372
Female-20-44 years,600
Female-Less than 20 years,370
"Black or African American, non-Hispanic",39
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",527
Other Race,1179
Hispanic or Latino,1340
Unknown,1834
"White, non-Hispanic",3923
