Category,Coconino
Total_doses_administered,202948
Total_people_one_dose,94440
Total_people_complete,81673
total_pouluation,94440
Male-65 years and older,9414
Male-55-64 years,6355
Male-45-54 years,5801
Male-20-44 years,17136
Male-Less than 20 years,6050
Female-65 years and older,10601
Female-55-64 years,7128
Female-45-54 years,5874
Female-20-44 years,19528
Female-Less than 20 years,6285
"Black or African American, non-Hispanic",784
"Asian or Pacific Islander, non-Hispanic",1631
Hispanic or Latino,7117
Other Race,8672
Unknown,12519
"American Indian or Alaska Native, non-Hispanic",22530
"White, non-Hispanic",41187
