Category,Apache
Total_doses_administered,60562
Total_people_one_dose,29252
Total_people_complete,22648
total_pouluation,29252
Male-65 years and older,2791
Male-55-64 years,2033
Male-45-54 years,1623
Male-20-44 years,3864
Male-Less than 20 years,3988
Female-65 years and older,3348
Female-55-64 years,2185
Female-45-54 years,1598
Female-20-44 years,3755
Female-Less than 20 years,4059
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",133
Hispanic or Latino,569
Unknown,1107
Other Race,1140
"White, non-Hispanic",3651
"American Indian or Alaska Native, non-Hispanic",22593
