Category,Yavapai
Total_doses_administered,245340
Total_people_one_dose,117282
Total_people_complete,98855
total_pouluation,117282
Male-65 years and older,25888
Male-55-64 years,9178
Male-45-54 years,5067
Male-20-44 years,10224
Male-Less than 20 years,2924
Female-65 years and older,31553
Female-55-64 years,11622
Female-45-54 years,6013
Female-20-44 years,10470
Female-Less than 20 years,3192
"Black or African American, non-Hispanic",557
"American Indian or Alaska Native, non-Hispanic",1430
"Asian or Pacific Islander, non-Hispanic",1435
Hispanic or Latino,8095
Other Race,17251
Unknown,18854
"White, non-Hispanic",69660
