Category,Navajo
Total_doses_administered,99203
Total_people_one_dose,48971
Total_people_complete,40456
total_pouluation,48971
Male-65 years and older,7323
Male-55-64 years,3575
Male-45-54 years,2701
Male-20-44 years,5804
Male-Less than 20 years,4337
Female-65 years and older,8258
Female-55-64 years,4105
Female-45-54 years,2713
Female-20-44 years,5676
Female-Less than 20 years,4443
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",357
Unknown,2296
Hispanic or Latino,2486
Other Race,6310
"White, non-Hispanic",15994
"American Indian or Alaska Native, non-Hispanic",21323
