Category,Pinal
Total_doses_administered,514430
Total_people_one_dose,251710
Total_people_complete,219747
total_pouluation,251710
Male-65 years and older,36927
Male-55-64 years,18379
Male-45-54 years,16812
Male-20-44 years,38392
Male-Less than 20 years,12557
Female-65 years and older,42495
Female-55-64 years,20707
Female-45-54 years,17081
Female-20-44 years,35263
Female-Less than 20 years,12346
"Asian or Pacific Islander, non-Hispanic",5143
"Black or African American, non-Hispanic",9186
"American Indian or Alaska Native, non-Hispanic",9780
Unknown,29634
Other Race,31059
Hispanic or Latino,40674
"White, non-Hispanic",126234
