Category,Yuma
Total_doses_administered,311388
Total_people_one_dose,157126
Total_people_complete,127145
total_pouluation,157126
Male-65 years and older,16585
Male-55-64 years,10479
Male-45-54 years,9206
Male-20-44 years,28081
Male-Less than 20 years,12350
Female-65 years and older,19167
Female-55-64 years,11185
Female-45-54 years,10160
Female-20-44 years,26460
Female-Less than 20 years,12853
"Black or African American, non-Hispanic",832
"American Indian or Alaska Native, non-Hispanic",1163
"Asian or Pacific Islander, non-Hispanic",1214
Other Race,18933
Unknown,29132
"White, non-Hispanic",34615
Hispanic or Latino,71237
