Category,Yavapai
Total_doses_administered,197515
Total_people_one_dose,112754
Total_people_complete,94849
Total_doses_ordered,174926
total_pouluation,232386
Male-65 years and older,24438
Male-55-64 years,8762
Male-45-54 years,5183
Male-20-44 years,10240
Male-Less than 20 years,2233
Female-65 years and older,30482
Female-55-64 years,11190
Female-45-54 years,6041
Female-20-44 years,10390
Female-Less than 20 years,2481
"Black or African American, non-Hispanic",627
"American Indian or Alaska Native, non-Hispanic",1162
"Asian or Pacific Islander, non-Hispanic",1474
Hispanic or Latino,7293
Other Race,17333
Unknown,27735
"White, non-Hispanic",57130
