Category,Navajo
Total_doses_administered,80413
Total_people_one_dose,45111
Total_people_complete,38269
Total_doses_ordered,44400
total_pouluation,112825
Male-65 years and older,7127
Male-55-64 years,3704
Male-45-54 years,2653
Male-20-44 years,5599
Male-Less than 20 years,3211
Female-65 years and older,7828
Female-55-64 years,3958
Female-45-54 years,2645
Female-20-44 years,5009
Female-Less than 20 years,3341
"Black or African American, non-Hispanic",231
"Asian or Pacific Islander, non-Hispanic",426
Unknown,2334
Hispanic or Latino,2355
Other Race,8521
"White, non-Hispanic",15232
"American Indian or Alaska Native, non-Hispanic",16012
