Category,Santa Cruz
Total_doses_administered,73219
Total_people_one_dose,40700
Total_people_complete,36658
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3664
Male-55-64 years,2682
Male-45-54 years,3135
Male-20-44 years,8051
Male-Less than 20 years,2759
Female-65 years and older,4436
Female-55-64 years,2714
Female-45-54 years,2975
Female-20-44 years,7436
Female-Less than 20 years,2778
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",100
Other Race,2074
Unknown,2381
"White, non-Hispanic",4923
Hispanic or Latino,31168
