Category,Arizona
Total_doses_administered,7581341
Total_people_complete,3649311
Total_doses_ordered,5387440
total_pouluation,7189020
Total_people_one_dose,4127406
Male-65 years and older,530364
Male-55-64 years,306915
Male-45-54 years,271472
Male-20-44 years,652280
Male-Less than 20 years,174911
Female-65 years and older,653354
Female-55-64 years,352607
Female-45-54 years,296195
Female-20-44 years,686691
Female-Less than 20 years,182979
"Black or African American, non-Hispanic",114771
"American Indian or Alaska Native, non-Hispanic",123681
"Asian or Pacific Islander, non-Hispanic",153116
Unknown,443328
Other Race,690861
Hispanic or Latino,711924
"White, non-Hispanic",1889725
