Category,Cochise
Total_doses_administered,125971
Total_people_one_dose,70400
Total_people_complete,62075
Total_doses_ordered,94080
total_pouluation,130808
Male-65 years and older,10928
Male-55-64 years,5293
Male-45-54 years,3906
Male-20-44 years,10267
Male-Less than 20 years,2929
Female-65 years and older,12938
Female-55-64 years,6372
Female-45-54 years,4473
Female-20-44 years,10235
Female-Less than 20 years,2967
"American Indian or Alaska Native, non-Hispanic",336
"Asian or Pacific Islander, non-Hispanic",1336
"Black or African American, non-Hispanic",1343
Unknown,9452
Other Race,10667
Hispanic or Latino,17185
"White, non-Hispanic",30081
