Category,Mohave
Total_doses_administered,164479
Total_people_one_dose,93678
Total_people_complete,78402
Total_doses_ordered,135940
total_pouluation,216985
Male-65 years and older,22155
Male-55-64 years,8770
Male-45-54 years,4601
Male-20-44 years,7803
Male-Less than 20 years,1501
Female-65 years and older,24700
Female-55-64 years,10192
Female-45-54 years,4909
Female-20-44 years,7266
Female-Less than 20 years,1617
"Black or African American, non-Hispanic",670
"American Indian or Alaska Native, non-Hispanic",978
"Asian or Pacific Islander, non-Hispanic",1355
Hispanic or Latino,6835
Unknown,15989
Other Race,16304
"White, non-Hispanic",51547
