Category,Maricopa
Total_doses_administered,3265047
Total_people_one_dose,1850952
Total_people_complete,1609887
Total_doses_ordered,1689183
total_pouluation,4367835
Male-65 years and older,187933
Male-55-64 years,132677
Male-45-54 years,134071
Male-20-44 years,317106
Male-Less than 20 years,89383
Female-65 years and older,242847
Female-55-64 years,152595
Female-45-54 years,147834
Female-20-44 years,342953
Female-Less than 20 years,91669
"American Indian or Alaska Native, non-Hispanic",39859
"Black or African American, non-Hispanic",72583
"Asian or Pacific Islander, non-Hispanic",84467
Unknown,182343
Other Race,282781
Hispanic or Latino,345295
"White, non-Hispanic",843624
