Category,Pinal
Total_doses_administered,333847
Total_people_one_dose,190279
Total_people_complete,169273
Total_doses_ordered,201132
total_pouluation,455210
Male-65 years and older,30493
Male-55-64 years,14320
Male-45-54 years,13536
Male-20-44 years,32434
Male-Less than 20 years,6484
Female-65 years and older,34972
Female-55-64 years,15201
Female-45-54 years,12121
Female-20-44 years,23699
Female-Less than 20 years,6424
"Asian or Pacific Islander, non-Hispanic",3410
"Black or African American, non-Hispanic",5544
"American Indian or Alaska Native, non-Hispanic",9191
Other Race,20489
Hispanic or Latino,30611
Unknown,38188
"White, non-Hispanic",82846
