Category,Apache
Total_doses_administered,34695
Total_people_one_dose,19369
Total_people_complete,12971
Total_doses_ordered,18500
total_pouluation,71808
Male-65 years and older,2000
Male-55-64 years,1348
Male-45-54 years,1074
Male-20-44 years,2628
Male-Less than 20 years,2581
Female-65 years and older,2117
Female-55-64 years,1471
Female-45-54 years,1075
Female-20-44 years,2421
Female-Less than 20 years,2644
"Asian or Pacific Islander, non-Hispanic",173
"Black or African American, non-Hispanic",297
Unknown,1058
Other Race,1322
Hispanic or Latino,1960
"White, non-Hispanic",3383
"American Indian or Alaska Native, non-Hispanic",11176
