Category,Santa Cruz
Total_doses_administered,85448
Total_people_one_dose,45920
Total_people_complete,42453
total_pouluation,45920
Male-65 years and older,4381
Male-55-64 years,3031
Male-45-54 years,3146
Male-20-44 years,8449
Male-Less than 20 years,3224
Female-65 years and older,5279
Female-55-64 years,3281
Female-45-54 years,3338
Female-20-44 years,8397
Female-Less than 20 years,3340
"Black or African American, non-Hispanic",47
"American Indian or Alaska Native, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",169
Unknown,2887
Other Race,3120
"White, non-Hispanic",6711
Hispanic or Latino,32938
