Category,Yuma
Total_doses_administered,257848
Total_people_one_dose,137387
Total_people_complete,121080
total_pouluation,137387
Male-65 years and older,14831
Male-55-64 years,9678
Male-45-54 years,8664
Male-20-44 years,25756
Male-Less than 20 years,7967
Female-65 years and older,17339
Female-55-64 years,10335
Female-45-54 years,9518
Female-20-44 years,24347
Female-Less than 20 years,8498
"Black or African American, non-Hispanic",687
"Asian or Pacific Islander, non-Hispanic",1044
"American Indian or Alaska Native, non-Hispanic",1049
Other Race,15119
"White, non-Hispanic",28055
Unknown,30555
Hispanic or Latino,60878
