Category,Navajo
Total_doses_administered,82950
Total_people_one_dose,43950
Total_people_complete,38171
total_pouluation,43950
Male-65 years and older,6899
Male-55-64 years,3381
Male-45-54 years,2473
Male-20-44 years,5307
Male-Less than 20 years,3216
Female-65 years and older,7806
Female-55-64 years,3851
Female-45-54 years,2471
Female-20-44 years,5138
Female-Less than 20 years,3373
"Black or African American, non-Hispanic",182
"Asian or Pacific Islander, non-Hispanic",354
Hispanic or Latino,2240
Unknown,2655
Other Race,7852
"White, non-Hispanic",13611
"American Indian or Alaska Native, non-Hispanic",17056
